Views,Likes,Comments,Reposts,Poll,Hashtag,Date,Day,Time,Time_cat,Followers
615,11,1,0,,#олимпикс_интенсив,2021-01-05 17:21:22,2021-01-05,17:21:22,c 14 до 18 часов,1326
25520,19,0,10,,#олимпикс_интенсив,2021-01-04 19:47:44,2021-01-04,19:47:44,c 18 до 22 часов,1326
27833,7,0,7,,#олимпикс_интенсив,2021-01-04 14:26:06,2021-01-04,14:26:06,c 14 до 18 часов,1326
612,9,0,1,,,2021-01-02 17:06:57,2021-01-02,17:06:57,c 14 до 18 часов,1326
616,17,0,1,,,2020-12-31 16:13:57,2020-12-31,16:13:57,c 14 до 18 часов,1326
622,7,0,2,,#олимпикс_анонс,2020-12-30 20:02:59,2020-12-30,20:02:59,c 18 до 22 часов,1326
607,17,0,3,,#олимпикс_подборка,2020-12-30 15:42:29,2020-12-30,15:42:29,c 14 до 18 часов,1326
32630,52,5,59,,,2020-12-22 19:43:08,2020-12-22,19:43:08,c 18 до 22 часов,1326
1043,23,0,15,,#олимпикс_подборка,2020-12-17 15:13:30,2020-12-17,15:13:30,c 14 до 18 часов,1326
631,9,3,1,26.0,#олимпикс_рекомендация,2020-12-14 13:06:33,2020-12-14,13:06:33,c 10 до 14 часов,1326
580,10,0,0,,#олимпикс_термин,2020-12-13 02:57:03,2020-12-13,02:57:03,до 10 утра,1326
533,7,0,0,28.0,#олимпикс_опрос,2020-12-12 12:03:33,2020-12-12,12:03:33,c 10 до 14 часов,1326
494,12,0,0,,#олимпикс_термин,2020-12-11 15:26:41,2020-12-11,15:26:41,c 14 до 18 часов,1326
445,9,0,1,,#олимпикс_рекомендация,2020-12-09 11:48:46,2020-12-09,11:48:46,c 10 до 14 часов,1326
650,15,2,7,,#олимпикс_подборка,2020-12-08 19:50:49,2020-12-08,19:50:49,c 18 до 22 часов,1326
526,11,0,0,,#олимпикс_термин,2020-12-07 17:40:49,2020-12-07,17:40:49,c 14 до 18 часов,1326
461,4,0,1,19.0,#олимпикс_опрос,2020-12-02 13:25:15,2020-12-02,13:25:15,c 10 до 14 часов,1326
633,13,2,0,,#олимпикс_анонс,2020-11-26 19:25:49,2020-11-26,19:25:49,c 18 до 22 часов,1326
21042,24,0,0,,#олимпикс_рекомендации,2020-11-25 16:52:38,2020-11-25,16:52:38,c 14 до 18 часов,1326
533,7,0,0,32.0,#олимпикс_опрос,2020-11-24 19:15:43,2020-11-24,19:15:43,c 18 до 22 часов,1326
881,23,0,0,,#олимпикс_рекомендации,2020-11-21 12:38:44,2020-11-21,12:38:44,c 10 до 14 часов,1326
